country,wp_id,title,content_score,composite,yoast,expert,mechanical_fixes
AE,14002,"Al Wahda Sports Cultural Club",80,68,100,60,S4
AE,14157,"Gulf Star Sports",80,78,100,60,S4
AE,14206,"i Padel club",80,68,100,60,S4
AE,14200,"ISM Padel Sama International school",80,68,100,60,S4
AE,14294,"Padel 8 (Indoor) 2.0",80,78,100,60,S4
AE,14420,"Padelae Abu Dhabi - Musaffah",80,68,100,60,S4
AE,14422,"Padeled",80,68,100,60,S4
AE,14790,"Go Padel Ajman",80,48,100,60,S4
AE,14767,"Zayed Sports City Padel Tennis Courts",80,68,100,60,S4
AE,14788,"Go Padel Abu Dhabi",80,68,100,60,S4
AE,14881,"Padel Square",80,68,100,60,S4
AE,14939,"Padel Addict",80,68,100,60,S4
AE,14895,"A PADEL - Al Ain",80,48,100,60,S4
AE,15268,"321Sports I Padel",80,48,100,60,S4
AE,15372,"Sharjah Beach Club",80,48,100,60,S4
AE,15373,"Padel Zone Fujairah",80,48,100,60,S4
AE,15452,"Padel Point Al Quoz",80,48,100,60,S4
AE,15396,"Fahid Beach Club by Barbossa",80,68,100,60,S4
AE,15493,"Padel Patch",80,68,100,60,S4
AE,13777,"A PADEL - Rebound",80,48,100,60,S4
AE,15768,"Premier Padel 2.0",80,48,100,60,S4
AE,15919,"Quick Turf Sports",80,48,100,60,S4
AE,15838,"Padelae 2.0",80,68,100,60,S4
AE,15890,"Padel Pavilion",80,48,100,60,S4
AE,15853,"UAEJJ Fitness Al Nahda",80,48,100,60,S4
AE,15852,"Club Padel Dubai",80,48,100,60,S4
AE,16023,"Champions Padel",80,68,100,60,S4
AE,16007,"iPadel Club Dubai",80,48,100,60,S4
AE,16000,"Pro Padel Jumeirah",80,48,100,60,S4
AE,16133,"Aljoker Playgrounds Sharjah",80,68,100,60,S4
AE,16179,"Padel Space",80,48,100,60,S4
AE,16163,"The Padel Club",80,68,100,60,S4
AE,16149,"Padel Port",80,75,100,60,S4
AE,16291,"Bin Salman Padel Court",80,81,100,60,S4
AE,16256,"Padel Life Club",80,48,100,60,S4
AE,16430,"Le Padel",80,68,100,60,S4
AE,16429,"FPA Football and Padel Academy",80,68,100,60,S4
AE,16490,"Padel Stars",80,68,100,60,S4
AE,16585,"The Padel Corner Falaj Al Mualla",80,68,100,60,S4
AE,16470,"Padel Ranch",80,68,100,60,S4
AE,15651,"Wellfit Madar",80,68,100,60,S4
AE,14210,"Lets Padel Outdoor",80,68,100,60,S4
AE,12605,"FM Padel Academy (Padelae)",80,68,100,60,S4
AE,14401,"Padel Plus Academy",80,68,100,60,S4
AE,16057,"CF Padel Academy",80,48,100,60,S4
GB,18960,"Park Sports Regent's Park",80,68,100,60,S4
US,19595,"PADEL MKE",80,48,100,60,S4
GB,16997,"Akebar Park",80,48,100,60,S4
GB,16893,"Padel at the Coed",80,48,100,60,S4
GB,16952,"S3 Bristol Filton Park",80,48,100,60,S4
US,20420,"Slice Padel Co",80,48,100,60,S4
US,20232,"SLC Padel Club",80,48,100,60,S4
US,19995,"AREA Centre",80,48,100,60,S4
GB,18496,"Mickleover Padel Club",80,68,100,60,S4
GB,17238,"Castle Padel Club",80,88,100,60,none
US,20829,"Portres Sports Club",80,68,100,60,S4
US,20783,"PADELHUB Boston",80,48,100,60,S4
US,20758,"Padel United Sports Club",80,88,100,60,none
US,20311,"The Sports Haus",80,48,100,60,S4
US,20185,"Laredo Padel Club",80,48,100,60,S4
US,20034,"Racket Social Club Willowbrook",80,88,100,60,none
US,19659,"Point Padel Club",80,68,100,60,S4
GB,18976,"The Heron Padel Club",80,68,100,60,S4
GB,18774,"Barnton Cricket Club",80,48,100,60,S4
GB,18648,"Withdean Sports Complex",80,48,100,60,S4
GB,18405,"Let's Go Padel Lurgan",80,78,100,60,S4
GB,18236,"Rhosneigr Sports Club",80,68,100,60,S4
GB,17769,"Padel Project UK Darlington",80,88,100,60,none
GB,17672,"Padel People - Shepton Mallet",80,48,100,60,S4
GB,17342,"PADELHUB Crawley",80,48,100,60,S4
GB,17178,"The Padel Club Cheltenham",80,48,100,60,S4
AU,11664,"Canberra Racquet Club",80,48,100,60,S4
GB,17131,"PADELHUB Slough",80,48,100,60,S4
GB,17035,"Manton Sports Club",80,48,100,60,S4
GB,17046,"The Northern",80,88,100,60,none
GB,16830,"Powerleague Mill Hill",80,48,100,60,S4
AU,16794,"Padel Spot Minto",80,75,100,60,S4
AU,16780,"The Racquet Collective",80,48,100,60,S4
AU,16693,"Padel Fit",80,48,100,60,S4
